"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 00:15:00","BZN|DE-LU","Sequence Sequence 1","-5.17","",""
"01/01/2023 00:00:00 - 01/01/2023 00:15:00","BZN|DE-LU","Sequence Sequence 2","75.01","",""
"01/01/2023 00:15:00 - 01/01/2023 00:30:00","BZN|DE-LU","Sequence Sequence 1","-5.17","",""
"01/01/2023 00:15:00 - 01/01/2023 00:30:00","BZN|DE-LU","Sequence Sequence 2","-29.95","",""
"01/01/2023 00:30:00 - 01/01/2023 00:45:00","BZN|DE-LU","Sequence Sequence 1","-5.17","",""
"01/01/2023 00:30:00 - 01/01/2023 00:45:00","BZN|DE-LU","Sequence Sequence 2","-29.98","",""
"01/01/2023 00:45:00 - 01/01/2023 01:00:00","BZN|DE-LU","Sequence Sequence 1","-5.17","",""
"01/01/2023 00:45:00 - 01/01/2023 01:00:00","BZN|DE-LU","Sequence Sequence 2","-30.00","",""
"01/01/2023 01:00:00 - 01/01/2023 01:15:00","BZN|DE-LU","Sequence Sequence 1","-1.07","",""
"01/01/2023 01:00:00 - 01/01/2023 01:15:00","BZN|DE-LU","Sequence Sequence 2","26.81","",""
"01/01/2023 01:15:00 - 01/01/2023 01:30:00","BZN|DE-LU","Sequence Sequence 1","-1.07","",""
"01/01/2023 01:15:00 - 01/01/2023 01:30:00","BZN|DE-LU","Sequence Sequence 2","-29.92","",""
"01/01/2023 01:30:00 - 01/01/2023 01:45:00","BZN|DE-LU","Sequence Sequence 1","-1.07","",""
"01/01/2023 01:30:00 - 01/01/2023 01:45:00","BZN|DE-LU","Sequence Sequence 2","-29.94","",""
"01/01/2023 01:45:00 - 01/01/2023 02:00:00","BZN|DE-LU","Sequence Sequence 1","-1.07","",""
"01/01/2023 01:45:00 - 01/01/2023 02:00:00","BZN|DE-LU","Sequence Sequence 2","-29.95","",""
"01/01/2023 02:00:00 - 01/01/2023 02:15:00","BZN|DE-LU","Sequence Sequence 1","-1.47","",""
"01/01/2023 02:00:00 - 01/01/2023 02:15:00","BZN|DE-LU","Sequence Sequence 2","-29.92","",""
"01/01/2023 02:15:00 - 01/01/2023 02:30:00","BZN|DE-LU","Sequence Sequence 1","-1.47","",""
"01/01/2023 02:15:00 - 01/01/2023 02:30:00","BZN|DE-LU","Sequence Sequence 2","-29.93","",""
"01/01/2023 02:30:00 - 01/01/2023 02:45:00","BZN|DE-LU","Sequence Sequence 1","-1.47","",""
