"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 00:15:00","BZN|DE-LU","Sequence Sequence 1","50.05","",""
"01/01/2022 00:00:00 - 01/01/2022 00:15:00","BZN|DE-LU","Sequence Sequence 2","69.17","",""
"01/01/2022 00:15:00 - 01/01/2022 00:30:00","BZN|DE-LU","Sequence Sequence 1","50.05","",""
"01/01/2022 00:15:00 - 01/01/2022 00:30:00","BZN|DE-LU","Sequence Sequence 2","35.61","",""
"01/01/2022 00:30:00 - 01/01/2022 00:45:00","BZN|DE-LU","Sequence Sequence 1","50.05","",""
"01/01/2022 00:30:00 - 01/01/2022 00:45:00","BZN|DE-LU","Sequence Sequence 2","23.14","",""
"01/01/2022 00:45:00 - 01/01/2022 01:00:00","BZN|DE-LU","Sequence Sequence 1","50.05","",""
"01/01/2022 00:45:00 - 01/01/2022 01:00:00","BZN|DE-LU","Sequence Sequence 2","-3.88","",""
"01/01/2022 01:00:00 - 01/01/2022 01:15:00","BZN|DE-LU","Sequence Sequence 1","41.33","",""
"01/01/2022 01:00:00 - 01/01/2022 01:15:00","BZN|DE-LU","Sequence Sequence 2","85.06","",""
"01/01/2022 01:15:00 - 01/01/2022 01:30:00","BZN|DE-LU","Sequence Sequence 1","41.33","",""
"01/01/2022 01:15:00 - 01/01/2022 01:30:00","BZN|DE-LU","Sequence Sequence 2","36.13","",""
"01/01/2022 01:30:00 - 01/01/2022 01:45:00","BZN|DE-LU","Sequence Sequence 1","41.33","",""
"01/01/2022 01:30:00 - 01/01/2022 01:45:00","BZN|DE-LU","Sequence Sequence 2","-3.42","",""
"01/01/2022 01:45:00 - 01/01/2022 02:00:00","BZN|DE-LU","Sequence Sequence 1","41.33","",""
"01/01/2022 01:45:00 - 01/01/2022 02:00:00","BZN|DE-LU","Sequence Sequence 2","-31.94","",""
"01/01/2022 02:00:00 - 01/01/2022 02:15:00","BZN|DE-LU","Sequence Sequence 1","43.22","",""
"01/01/2022 02:00:00 - 01/01/2022 02:15:00","BZN|DE-LU","Sequence Sequence 2","28.25","",""
"01/01/2022 02:15:00 - 01/01/2022 02:30:00","BZN|DE-LU","Sequence Sequence 1","43.22","",""
"01/01/2022 02:15:00 - 01/01/2022 02:30:00","BZN|DE-LU","Sequence Sequence 2","9.82","",""
"01/01/2022 02:30:00 - 01/01/2022 02:45:00","BZN|DE-LU","Sequence Sequence 1","43.22","",""
"01/01/2022 02:30:00 - 01/01/2022 02:45:00","BZN|DE-LU","Sequence Sequence 2","2.08","",""
"01/01/2022 02:45:00 - 01/01/2022 03:00:00","BZN|DE-LU","Sequence Sequence 1","43.22","",""
"01/01/2022 02:45:00 - 01/01/2022 03:00:00","BZN|DE-LU","Sequence Sequence 2","1.99","",""
"01/01/2022 03:00:00 - 01/01/2022 03:15:00","BZN|DE-LU","Sequence Sequence 1","45.46","",""
